region_hydro_ope,periode,esp_nom_commun,esp_nom_commun_nb
B,2013,"Vairon, Gardon, Goujon, Chevaine, Bouvière, Loche franche, Ablette, Epinoche, Tanche, Rotengle, Spirlin, Perche, Carpe miroir, Brochet, Vandoise, Chabot, Barbeau fluviatile, Loche de rivière, Brème bordelière, Hotu, Brème commune, Gremille, Truite de riviere, Lamproie de planer, Epinochette, Carassin, Perche soleil, Hybride brème-gardon, Silure glane, Brème indéterminée, Carassin argente, Lote de rivière, Ombre commun, Carassin doré, Anguille d'Europe",35
B,2015,"Goujon, Gardon, Chevaine, Vairon, Loche franche, Ablette, Bouvière, Perche, Rotengle, Barbeau fluviatile, Brème bordelière, Epinoche, Spirlin, Brème commune, Hotu, Vandoise, Gremille, Carassin argente, Chabot, Tanche, Loche de rivière, Truite de riviere, Carpe commune, Lamproie de planer, Epinochette, Brochet, Lote de rivière, Sandre, Perche soleil, Carassin, Silure glane, Brème indéterminée, Carrassin doré, Ombre commun",34
B,2017,"Goujon, Gardon, Vairon, Chevaine, Ablette, Bouvière, Perche, Loche franche, Spirlin, Vandoise, Brochet, Tanche, Barbeau fluviatile, Brème commune, Hotu, Rotengle, Chabot, Brème bordelière, Loche de rivière, Carpe commune, Gremille, Lamproie de planer, Carpe miroir, Epinoche, Truite de riviere, Epinochette, Silure glane, Gobie demi-lune, Lote de rivière, Brème indéterminée, Perche soleil, Carassin argente, Saumon de fontaine, Able de Heckel, Ide melanote, Ombre commun, Anguille d'Europe, Gobie à tache noire",38
B,2019,"Gardon, Chevaine, Ablette, Bouvière, Goujon, Vairon, Loche franche, Brochet, Vandoise, Perche, Tanche, Spirlin, Hotu, Chabot, Brème bordelière, Carassin, Barbeau fluviatile, Perche soleil, Brème indéterminée, Gremille, Loche de rivière, Carpe commune, Truite de riviere, Lamproie de planer, Epinoche, Epinochette, Gobie demi-lune, Silure glane, Brème commune, Rotengle, Lote de rivière, Loche d'étang, Sandre, Able de Heckel, Pseudorasbora, Carassin indéterminé, Carassin argente, Ombre commun, Carpe miroir, Gobie à tache noire",40
D,1995,"Goujon, Gardon, Chevaine, Ablette, Spirlin, Vandoise, Loche franche, Vairon, Perche, Gremille, Chabot, Loche de rivière, Hotu, Carpe cuir, Epinoche, Carpe miroir, Carassin, Tanche, Brochet, Brème commune, Ide melanote",21
D,1997,"Goujon, Chevaine, Gardon, Ablette, Loche franche, Vairon, Vandoise, Spirlin, Loche de rivière, Chabot, Brochet, Gremille, Perche, Epinoche, Truite arc-en-ciel",15
D,1999,"Goujon, Chevaine, Loche franche, Gardon, Ablette, Vairon, Loche de rivière, Vandoise, Spirlin, Chabot, Perche, Gremille",12
D,2001,"Loche franche, Chevaine, Goujon, Vairon, Gardon, Vandoise, Spirlin, Loche de rivière, Ablette, Chabot, Epinoche, Gremille, Brochet, Perche, Tanche",15
D,2003,"Loche franche, Gardon, Chevaine, Vandoise, Goujon, Vairon, Loche de rivière, Spirlin, Rotengle, Epinoche, Perche, Bouvière, Chabot, Ablette, Tanche, Gremille, Hotu, Brème commune, Brochet, Carassin, Ide melanote",21
D,2005,"Chabot, Loche franche, Gardon, Goujon, Vandoise, Chevaine, Gremille, Ablette, Brème commune, Perche, Epinoche, Bouvière, Sandre, Truite arc-en-ciel, Vairon, Spirlin, Loche de rivière, Tanche, Brochet, Carassin, Rotengle, Truite de riviere",22
