secteur_hydro_ope,periode,esp_nom_commun,esp_nom_commun_nb
A3,2001,"Anguille d'Europe, Chevaine, Gardon, Barbeau fluviatile, Gremille, Ablette, Vandoise, Perche, Silure glane, Spirlin, Goujon, Loche franche, Chabot, Hotu, Lote de rivière, Epinoche, Sandre, Aspe, Lamproie de planer, Truite de riviere, Truite arc-en-ciel, Brème commune, Brochet, Rotengle, Brème bordelière, Bouvière",26
A3,2003,"Gremille, Anguille d'Europe, Gardon, Perche, Chevaine, Barbeau fluviatile, Ablette, Silure glane, Vandoise, Sandre, Goujon, Tanche, Brème commune, Chabot, Hotu, Spirlin, Brochet, Epinoche, Lamproie indéterminée (genre Lampetra), Loche franche, Cyprinidés, Lamproie de planer, Rotengle, Truite de riviere, Perche soleil, Aspe, Brème bordelière, Lote de rivière, Bouvière, Lamproie marine",30
A3,2005,"Chevaine, Anguille d'Europe, Gardon, Barbeau fluviatile, Silure glane, Perche, Gremille, Ablette, Hotu, Brochet, Sandre, Aspe, Saumon atlantique, Loche franche, Brème commune, Spirlin, Vandoise, Tanche, Epinoche, Perche soleil, Chabot, Goujon, Lamproie de planer, Truite de riviere, Vairon, Bouvière, Brème bordelière, Lote de rivière, Loche de rivière, Rotengle, Ide melanote",31
A3,2007,"Anguille d'Europe, Gremille, Perche, Chevaine, Silure glane, Barbeau fluviatile, Gobie demi-lune, Spirlin, Vandoise, Perche soleil, Chabot, Hotu, Sandre, Ablette, Gardon, Brème bordelière, Goujon, Lamproie de planer, Loche franche, Truite de riviere, Epinoche, Ombre commun, Vairon, Brème commune, Bouvière, Rotengle, Brochet, Loche de rivière, Aspe, Lote de rivière, Tanche, Carpe miroir, Ide melanote",33
A3,2009,"Gardon, Perche, Anguille d'Europe, Gremille, Silure glane, Chevaine, Vandoise, Gobie demi-lune, Barbeau fluviatile, Spirlin, Goujon, Loche franche, Aspe, Ablette, Chabot, Brème commune, Sandre, Hotu, Tanche, Brochet, Lamproie de planer, Perche soleil, Carpe commune, Truite arc-en-ciel, Vairon, Epinoche, Bouvière, Truite de riviere, Brème bordelière, Loche de rivière, Lote de rivière, Rotengle",32
A3,2011,"Gardon, Gobie de kessler, Perche, Gremille, Gobie à tache noire, Gobie demi-lune, Silure glane, Chevaine, Anguille d'Europe, Ablette, Epinoche, Aspe, Hotu, Vandoise, Barbeau fluviatile, Chabot, Brochet, Loche franche, Lote de rivière, Spirlin, Goujon, Lamproie de planer, Truite de riviere, Bouvière, Vairon, Brème commune, Loche de rivière, Tanche, Perche soleil, Rotengle, Brème bordelière, Carpe commune, Carassin argente, Ombre commun",34
A3,2013,"Gobie à tache noire, Gardon, Chevaine, Gobie demi-lune, Silure glane, Gobie de kessler, Barbeau fluviatile, Anguille d'Europe, Perche, Epinoche, Hotu, Vandoise, Spirlin, Aspe, Goujon, Loche franche, Vairon, Chabot, Ombre commun, Bouvière, Ablette, Brème commune, Brochet, Rotengle, Lamproie marine, Ide melanote, Perche soleil, Tanche, Loche de rivière, Truite de riviere, Lamproie de planer, Truite arc-en-ciel, Lote de rivière",33
A3,2015,"Gobie à tache noire, Gardon, Gobie de kessler, Gobie demi-lune, Anguille d'Europe, Ablette, Perche, Silure glane, Chevaine, Hotu, Barbeau fluviatile, Vandoise, Tanche, Gremille, Epinoche, Goujon, Spirlin, Lamproie de planer, Chabot, Bouvière, Loche franche, Truite de riviere, Vairon, Ombre commun, Brochet, Brème commune, Aspe, Rotengle, Loche de rivière, Brème bordelière, Perche soleil, Lote de rivière, Sandre, Saumon atlantique",34
A3,2017,"Gobie à tache noire, Perche, Anguille d'Europe, Gobie demi-lune, Silure glane, Gardon, Chevaine, Barbeau fluviatile, Epinoche, Brème indéterminée, Ablette, Rotengle, Gobie de kessler, Spirlin, Goujon, Lamproie de planer, Bouvière, Chabot, Loche franche, Vandoise, Gremille, Carpe commune, Truite de riviere, Vairon, Perche soleil, Brochet, Aspe, Loche de rivière, Brème bordelière, Brème commune, Sandre, Carassin argente, Tanche, Hotu, Lote de rivière, Saumon atlantique, Ombre commun",37
A3,2019,"Gobie à tache noire, Anguille d'Europe, Gardon, Silure glane, Gobie de kessler, Gobie demi-lune, Perche, Chevaine, Brème indéterminée, Barbeau fluviatile, Hotu, Spirlin, Goujon, Vandoise, Aspe, Sandre, Bouvière, Lamproie de planer, Chabot, Brochet, Loche franche, Gremille, Truite de riviere, Vairon, Epinoche, Ombre commun, Ablette, Brème bordelière, Brème commune, Loche de rivière, Perche soleil, Tanche, Rotengle, Lote de rivière, Carpe commune, Pseudorasbora, Saumon atlantique",37
A4,1993,"Vairon, Truite de riviere, Chabot, Perche, Vandoise, Goujon, Gardon, Barbeau fluviatile, Hotu, Loche franche, Chevaine",11
A4,1995,"Chabot, Vairon, Truite de riviere, Lamproie de planer, Epinoche, Perche, Gardon, Hotu, Barbeau fluviatile, Chevaine, Vandoise, Goujon, Carassin",13
A4,1997,"Vairon, Chabot, Truite de riviere, Epinoche, Hotu, Goujon, Barbeau fluviatile, Vandoise, Gardon, Perche, Loche franche, Chevaine, Spirlin, Ablette, Brochet",15
A4,1999,"Truite de riviere, Vairon, Chabot, Tanche, Epinoche, Chevaine, Goujon, Gardon, Hotu, Vandoise, Barbeau fluviatile, Spirlin, Truite arc-en-ciel, Ombre commun, Loche franche, Brochet, Perche",17
